,_entropy_hour,_label,_rate,_total,cnt_firmware_ver,cnt_payload_ip,cnt_profile_id,condition_updated,payload_lastwill,payload_malf_false,payload_malf_true,ratio_offline,ratio_online
9c5dd6d298d89effa43ae3e895512e11,1.55915811156,1,0.639179717797,-0.14615948501,2,2,2,0,15,38,0,0.421052631579,0.578947368421
c3774699425f297fff004aa3cf6c5e62,1.38575265523,1,0.99912443417,-0.0919856721152,1,2,2,63,8,79,0,0.101265822785,0.898734177215
a531cfe50b5ab684b1c90e0cf48d20dd,1.56722490918,1,0.998036276916,0.0335390162994,4,4,6,128,13,174,0,0.120689655172,0.879310344828
24d0b9ddd8dfc8b83283708f197fadae,1.65806320541,1,0.999762306917,-0.131625047404,4,4,2,0,20,49,0,0.469387755102,0.530612244898
7dd0872f91e7a468438e3ee41e5646d9,1.11714685839,1,0.964329466023,-0.154087360068,1,2,2,31,1,32,0,0.03125,0.96875
68a3363a52496c4bb8caf10734f95a6b,1.92507252465,0,0.981905237668,-0.0906643596056,1,2,1,0,26,80,0,0.325,0.675
3c3eb091d5eaf8adcce7d140c0006e84,2.65819344493,1,0.951375670206,0.309693330812,4,2,2,299,40,383,0,0.109660574413,0.890339425587
924603cfdb6d3fba5ae24c1e8d64011e,1.24554189127,1,0.996789874949,-0.155408672577,5,12,2,0,7,31,0,0.322580645161,0.677419354839
4f0c6a2f90932531d380d1a8ca7a0e67,0.544283732969,0,0.997918334898,-0.189762797828,1,2,1,0,2,5,0,0.4,0.6
ba7bc63123b9aadfcea8e14256cb66a6,1.21246586009,1,0.867809337159,-0.131625047404,2,3,2,43,2,49,0,0.0612244897959,0.938775510204
bbae26a073d3ae6b1e44c5f45d2a4d0b,0.990100074728,1,0.724084731093,-0.172585735202,2,1,1,0,4,18,0,0.277777777778,0.722222222222
a0ac16a0de0a7b69f915ebf4c18e56d9,1.2583178955,1,0.683108386826,-0.162015235125,2,2,2,22,1,26,0,0.0769230769231,0.923076923077
1f927d5e3d0f7d0ad99508aef4081ffe,0.344598248103,1,0.932543182786,-0.191084110337,1,3,1,0,2,4,0,0.5,0.5
01bd421f322f4d90ceba1529acf4fe2b,1.46906585972,0,0.995027934166,-0.142195547481,2,6,2,29,4,41,0,0.121951219512,0.878048780488
2145a0c0d54932846cb59af5fc075436,1.68825500871,1,0.994470084555,-0.142195547481,2,6,2,0,17,41,0,0.439024390244,0.560975609756
f20f3684ee4374d0374958e8731a630e,1.60869073768,1,0.99958382248,-0.150123422539,2,2,2,0,18,35,0,0.542857142857,0.457142857143
05a714478bf70b4abfddfebc82d81664,1.76840516576,1,0.99928683567,-0.0761299219997,2,5,2,66,11,91,0,0.131868131868,0.868131868132
d1d657c8c38f174e1b920928c72fa38e,1.54253867532,1,0.997016614608,-0.14748079752,3,12,1,0,10,37,0,0.27027027027,0.72972972973
1522c695b820973a6543ff7cbe91c631,0.709713102424,1,0.997386906913,-0.173907047712,1,3,1,0,8,17,0,0.470588235294,0.529411764706
3d321c1cbdafe615bc8014b587b8e74f,1.79020717175,1,0.98765173867,0.0256111412417,2,2,2,147,8,167,1,0.0535714285714,0.946428571429
6f8fbea5ac477ab0bb0e9dad1adcf85b,0.976105577178,1,0.996268443983,-0.176549672731,2,3,2,0,7,15,0,0.466666666667,0.533333333333
e131f5da971d8b25a4d4afd56e981c22,1.53556171803,0,0.973708136845,-0.0589528593745,1,2,2,79,12,104,0,0.115384615385,0.884615384615
48768ef0df1a110e5173457d5074de19,1.09246062452,0,0.471910674625,-0.171264422693,1,2,1,0,10,19,0,0.526315789474,0.473684210526
6191424a27d5052c57fbafa0a2b391b6,2.75191596903,1,0.993549300822,0.571313207718,2,2,2,194,190,580,1,0.328743545611,0.671256454389
88cfdd83d76afd62f9cb62052749241e,1.05938459334,1,0.999775349075,-0.175228360222,3,3,2,0,4,16,0,0.375,0.625
3ea5a16a57da922ad7e54959523b70a0,2.49618067498,1,0.998921743066,0.254198205407,4,4,2,316,8,341,0,0.0322580645161,0.967741935484
a9bc088f2d7c8016cba76c97c7a99e8b,1.57331636463,1,0.999508060553,-0.1448381725,2,2,2,10,13,39,0,0.358974358974,0.641025641026
efe94dc5e220ba05421c5627f5d518b4,1.36256840041,1,0.999078425265,-0.0378118592205,1,3,2,112,3,120,0,0.0333333333333,0.966666666667
80a0f2a4cbab349993a35d777efbd72d,1.84952173427,1,0.944951009055,-0.107841422231,2,3,2,0,35,67,0,0.537313432836,0.462686567164
5f4af85d52129730510d42dedbb21cd2,1.57331636463,1,0.99840676512,-0.134267672423,2,2,2,0,22,47,0,0.489361702128,0.510638297872
53efc1424c8169675e505237c80db71c,0.681610269053,0,0.895665294665,-0.18051361026,2,2,3,0,5,12,0,0.5,0.5
61f2e691824644232d986a9b1207fb9b,2.31161985465,1,0.999010568841,-0.0457397342782,3,2,2,48,22,114,0,0.210526315789,0.789473684211
e65b31c1ad042721e5caa4e5b9a3921a,2.07292704154,1,0.999140168715,0.0216472037128,4,2,2,151,1,165,0,0.0242424242424,0.975757575758
95ee5b94bac13dadc0ba5f8f9a9c432e,0.983087758575,1,0.967023207957,-0.177870985241,2,2,2,0,5,14,0,0.357142857143,0.642857142857
c9931eef966dbc3fb5f49d10d403a11c,0.815186210796,0,0.811880685969,-0.154087360068,1,3,2,28,2,32,0,0.0625,0.9375
50b6328f472d47efc7c696295280d8de,0.651950837378,1,0.999196355582,-0.187120172808,3,2,1,0,2,7,0,0.285714285714,0.714285714286
391a60f9842d172990a2191f766f2da4,0.882383053075,1,0.998381353189,-0.148802110029,1,2,2,32,2,36,0,0.0555555555556,0.944444444444
bfd926ebed0d0351e78a0e722747b343,0.952512746879,1,0.879699121836,-0.168621797674,2,3,2,0,9,21,0,0.428571428571,0.571428571429
412f4c1b61ee50c6c4df0fa8079447a6,1.45170037909,1,0.374813654217,-0.132946359914,2,4,2,12,16,48,0,0.354166666667,0.645833333333
a236dd7ddc977da485a6b24e6a9e520a,0.994361783764,1,0.998346722746,-0.163336547635,4,2,2,0,9,25,0,0.44,0.56
7914c1cf9d5e64e95e1c315945059c64,0.894750481832,1,0.858502947719,-0.176549672731,1,5,2,0,7,15,0,0.466666666667,0.533333333333
c5d9e7469f6d46d055c8cf03f17627bc,1.56722490918,1,0.974819186071,-0.139552922462,2,2,2,25,8,43,0,0.209302325581,0.790697674419
d8ea7b8faac22e91dc7be0b334fd3e28,0.344598248103,0,0.311862926103,-0.189762797828,2,2,1,0,2,5,0,0.4,0.6
2eb6cfaef03648164aae1164dac96d81,0.994361783764,1,0.990894859794,-0.119733234817,1,4,2,28,15,58,0,0.258620689655,0.741379310345
25f01863767dade8e9dfb4b001d12d2a,1.96579230876,0,0.958735047722,0.309693330812,4,2,2,368,3,381,2,0.0130548302872,0.986945169713
38bc282422052d9b64065ebe6857b214,1.96867653663,1,0.999789632721,-0.113126672269,5,2,2,0,23,63,0,0.396825396825,0.603174603175
d685b2f676b806af13a9e4c01a669657,0.456334432293,1,0.9397738246,-0.189762797828,2,2,2,0,1,5,0,0.4,0.6
bfb5242f31d83955e6062e7577ef1a6d,0.872948475842,1,0.995696779904,-0.07480860949,1,2,2,88,2,92,0,0.0217391304348,0.978260869565
31d00a94c66155064f30c6599d80534a,0.976105577178,1,0.998371178045,-0.154087360068,2,2,2,26,1,32,0,0.09375,0.90625
ce06e34bf942e24086105484bc38fafa,2.42714438474,1,0.99874676743,0.275339205561,4,13,2,301,25,357,0,0.078431372549,0.921568627451
4156d218c2015c16db8f4f2f6fa9952c,2.39481439795,1,0.927016226215,0.242306392821,3,4,2,10,140,332,0,0.424698795181,0.575301204819
63e30031ac7969d576ceeaa8a262387e,0.623848004006,1,0.997996659548,-0.18183492277,3,3,2,0,5,11,0,0.545454545455,0.454545454545
e20030a20c5dc9da30efbaca462e6aeb,0.623848004006,1,0.99007634791,-0.185798860299,3,2,2,0,3,8,0,0.5,0.5
897befbc161003c71a9d1230ce07824e,0.894750481832,1,0.980782168909,-0.179192297751,1,6,2,0,6,13,0,0.461538461538,0.538461538462
40955b4aaee65f8898de38565435ae72,0.651950837378,1,0.998652116048,-0.184477547789,2,2,1,0,3,9,0,0.333333333333,0.666666666667
67ac1336dda7e70a46a16e8bc10f121e,1.21086938249,1,0.997103236189,-0.106520109721,3,2,2,64,1,68,0,0.0147058823529,0.985294117647
