,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
1855,C5B4-45C8-74E4-353B-54E7_2017-09-27 23:27:52,C5B4-45C8-74E4-353B-54E7,208667.0,1,2,2,2,0.8369882167858358,34,0,0,2,0,0,0,0,0,1,9,0,0,0,0,0,8,9,0,0,1,0,0,0,0,0,8,0,728572.0,0,36,0,0,1,1,35,0.7773598836582771,1,36
1856,9987-FDB5-947B-4C9F-89B8_2017-10-04 14:12:14,9987-FDB5-947B-4C9F-89B8,1187.0,1,2,14,2,2.2792898678571705,35,0,0,62,7,0,6,3,4,7,11,2,3,3,7,10,2,1,2,1,9,1,2,5,1,0,8,2,688173.0,0,97,0,0,27,27,70,0.998278113032378,1,97
1857,C9DE-7BC5-5C4D-5999-95F9_2017-09-13 01:10:37,C9DE-7BC5-5C4D-5999-95F9,35861.0,2,2,2,2,0.9401453181214774,68,0,0,6,17,1,0,0,17,0,0,0,0,0,17,0,3,0,0,0,0,2,0,0,17,0,0,0,1464642.0,0,74,0,1,2,3,71,0.9761006809050032,1,74
1859,A2BD-3CBD-8BF4-26B9-2F9F_2017-05-15 10:30:51,A2BD-3CBD-8BF4-26B9-2F9F,1281675.0,1,1,3,2,0.6519508373776711,0,0,0,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2199080.0,0,9,0,1,3,4,5,0.6317824724808268,1,9
1860,8ACD-4DAE-A8F4-AD99-66D3_2017-11-08 13:39:50,8ACD-4DAE-A8F4-AD99-66D3,37210.0,3,2,2,2,2.02234607227287,110,1,0,17,2,14,0,7,1,21,2,6,0,7,2,16,0,0,4,0,7,6,0,7,7,15,0,4,2333124.0,0,128,0,1,7,8,120,0.9843017903805962,0,128
1861,F6C3-EA7A-D48B-F9C2-3B89_2017-11-08 12:28:13,F6C3-EA7A-D48B-F9C2-3B89,9477.0,1,2,2,2,0.8369882167858358,34,0,0,2,0,0,0,9,1,0,0,0,0,8,0,0,0,0,0,0,8,0,1,9,0,0,0,0,718811.0,0,36,0,0,1,1,35,0.986987290742124,1,36
1862,8242-524D-8EAA-46D7-BB83_2017-06-25 03:55:05,8242-524D-8EAA-46D7-BB83,3688.0,2,1,2,2,0.7097131024243333,0,0,0,14,0,0,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3950694.0,0,14,0,1,4,5,9,0.9990673637498856,1,14
1863,A88A-7A25-6E4F-DE85-DA3E_2017-07-11 17:55:32,A88A-7A25-6E4F-DE85-DA3E,6955.0,1,1,4,2,0.7214636866925115,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,0,0,1,0,0,0,0,736553.0,0,8,0,0,3,3,5,0.9906456958095944,1,8
1865,3322-88EB-E6F4-FDEB-DDBF_2017-11-01 13:08:38,3322-88EB-E6F4-FDEB-DDBF,2775.0,2,2,32,2,2.542668914834662,160,0,0,81,4,15,27,13,0,3,0,2,27,12,0,0,6,1,4,27,23,11,27,14,2,8,7,8,3464840.0,0,241,0,0,34,34,207,0.9991997381485546,1,241
1866,5FC3-9589-9DA4-435B-824D_2017-11-02 13:48:15,5FC3-9589-9DA4-435B-824D,1311.0,1,2,2,2,1.033867842224612,33,0,0,6,0,0,0,0,0,1,0,8,0,0,0,2,0,0,8,0,0,8,3,0,0,0,0,9,725842.0,0,39,0,0,3,3,36,0.9981970781939976,1,39
1867,9848-DB76-5FE3-45F3-8FCF_2017-09-07 03:07:38,9848-DB76-5FE3-45F3-8FCF,2808.0,6,2,2,2,2.9829650292177705,134,0,0,749,37,30,66,52,24,22,15,9,11,14,9,12,52,20,31,32,25,52,42,46,57,62,81,82,14370711.0,0,883,0,2,370,372,511,0.9998046407424652,1,883
1869,8D37-E845-EC89-4D98-2654_2017-10-02 10:35:17,8D37-E845-EC89-4D98-2654,198030.0,2,2,4,2,1.1531071174453746,49,1,0,6,0,0,1,0,0,2,12,0,0,0,0,0,12,12,0,0,1,2,1,0,0,0,13,0,1061602.0,0,56,0,0,1,1,55,0.842787417277427,1,56
